Time,Linear Pos X,Linear  Pos Y,Linear Pos Z,Angular Pos X,Angular Pos Y,Angular Pos Z,Lineal Vel X,Lineal Vel Y,Lineal Vel Z,Angular Vel X,Angular Vel Y,Angular Vel Z
1681947730,1.7602264277136386,-0.7672709143666642,0.5730742225690514,-0.14602037474635446,0.0025673542534122226,0.8969412161145578,-0.019519013654014806,-0.1051619455521353,0.16375221401000986,0.0,0.0,0.1
1681947730,1.7944156172746901,-0.7541121121206884,0.6019500459957369,-0.14659306545626752,0.002747572138454765,0.8965802775096704,-0.019019652788783363,-0.0934758535666079,0.14582370660223778,0.0,0.0,0.1
1681947731,1.813426765478541,-0.7376507660759729,0.630763776982171,-0.14733995628939364,0.0035261193697436236,0.8958227504430406,-0.021240655062728955,-0.07500030451837102,0.11163666295344858,0.0,0.0,0.1
1681947732,1.835103750190565,-0.7213242355113398,0.6462025882754732,-0.15012410391105313,0.003682057865817737,0.9074101010895845,-0.026217853889845148,-0.06077303096183198,0.10573153146129567,0.0,0.0,0.1
1681947733,1.8494881697757033,-0.7016886489269414,0.6667873554624058,-0.1517415322604163,0.003650283587353685,0.914030001135942,-0.04100863866347422,-0.018060340471837744,0.07910259468426731,0.0,0.0,0.1
1681947734,1.846077312108552,-0.6887469936653573,0.6801671206215365,-0.15370822733285136,0.0037218047532746306,0.9229420451054074,-0.037461819058831565,-0.05691551618201566,0.08711538644188399,0.0,0.0,0.1
1681947735,1.8521122180518,-0.6903168952649109,0.6954788063245624,-0.15523158682017454,0.0037761894989926303,0.9386683336588795,0.3,-0.3,-0.5,0.0,0.0,0.1
1681947735,1.8791668132084933,-0.6690611139279501,0.6804329879768638,-0.15729373337792518,0.001289745565126459,0.9559175433881285,-0.06595068159049539,-0.03374756770856788,-0.02375055169922577,0.0,0.0,0.1
1681947736,1.9553283104538266,-0.5509474444068397,0.6446367012779423,-0.1611491808365878,0.004201235326788985,0.9725109895756987,-0.04785628800586644,-0.0339344708953397,-0.10498094081602564,0.0,0.0,-0.05584014926154657
1681947737,2.02045280278383,-0.4733396900329314,0.6455428015951514,-0.16163596516132184,0.0037320213128469388,0.9791276201957981,-0.04499201874482735,-0.1464785657091466,-0.27277265555388663,0.0,0.0,0.1
1681947738,2.014405338139842,-0.35359412334123197,0.551943749165016,-0.16527960456755153,0.004332653940896324,0.9826031587767341,-0.05304956287944243,-0.14645292851812974,-0.24560678212836767,0.0,0.0,0.1
1681947739,2.042850500344616,-0.24741341622157983,0.4782549724500241,-0.16487535254828872,0.004230918196754019,0.9838498319237883,-0.06003398861375544,-0.04643912763688206,-0.18241182058856242,0.0,0.0,0.1
1681947739,2.0642256936241594,-0.1765049414022853,0.42751516459345595,-0.16507753389729848,0.00372099861712468,0.9837476911360173,-0.050138455992387414,-0.0610534110961049,-0.11923880205688103,0.0,0.0,0.1
1681947740,2.0677854573061616,-0.131633948190805,0.35489820920263554,-0.16553919109660814,0.003855436752297897,0.9819221439007008,-0.036517457605798054,-0.03948094234491942,-0.058716636560832515,0.0,0.0,0.1
1681947741,2.084302142020786,-0.10631209384874465,0.3373116602576101,-0.16511554111209684,0.0038944309994397874,0.9812943147869747,-0.03695640088104168,-0.05126737226146222,-0.10168146184656307,0.0,0.0,0.1
1681947742,2.1106934536451853,-0.08408947896141894,0.3403448742764172,-0.16479753823755988,0.004139501395410911,0.9820025480046982,-0.029106477241238934,-0.04134931761318841,-0.10661073738292882,0.0,0.0,0.1
1681947743,2.127605399148088,-0.07350963661514634,0.3314561866252324,-0.16581790299253202,0.003855579022874793,0.9837330586963206,-0.02523313412283939,-0.03407945872798384,-0.09387328385639018,0.0,0.0,0.1
1681947743,2.130100149566426,-0.05999039154790986,0.32593973746265975,-0.16638970653393015,0.003802588982381566,0.9849212962261057,-0.030745377369370722,-0.0251894687639648,-0.09301469863135724,0.0,0.0,0.1
1681947744,2.131053681112839,-0.04692225319689842,0.32145613202983503,-0.16706627698116724,0.003069038563332423,0.9857488082865962,0.17145281286309075,-0.3,0.5,0.0,0.0,0.1
1681947745,2.1242573411164862,-0.022433014902561565,0.35766262050938136,-0.16716024860605957,0.0022945490950711717,0.9859239335494541,-0.0150022897524952,-0.09583806416362675,0.04878919862356748,0.0,0.0,0.1
1681947746,2.1143413780589113,0.039110655430248914,0.3715764735964573,-0.16647021869179526,0.002717445839950484,0.9851770236965924,-0.033530590368831804,-0.12109769500709013,0.09585031093853175,0.0,0.0,0.1
1681947747,2.1002772902154527,0.09309964238701007,0.3785353941036739,-0.1670233638700583,0.0030929780723513533,0.9832394119980672,-0.03959702188436986,-0.09553635561156368,0.08991770872484832,0.0,0.0,0.1
1681947747,2.091075337809696,0.1399641372751464,0.3797063089091099,-0.1655676283215266,0.0032706031902864593,0.9800433493655799,-0.045568415936483295,-0.07148901163287145,0.08744191566039534,0.0,0.0,0.1
1681947748,2.091440762135207,0.17576425905562768,0.41678791422227607,-0.16492864300525206,0.0029813718569648793,0.9761667212525384,-0.023147883027925066,-0.1974983339656105,0.2554947067748814,0.0,0.0,0.1
1681947749,2.0667483649425487,0.24035112540948894,0.5376690409370859,-0.16351813809814572,0.001869663059530781,0.9709128799853026,-0.034007430534820915,-0.17274443298021167,0.18690959278073402,0.0,0.0,0.1
1681947750,2.030135631284592,0.35205031920956864,0.5813818238472407,-0.16223672453668905,0.0027597954745831655,0.9660663580616604,-0.0368135584743092,-0.11203982096789247,0.15927425802825526,0.0,0.0,0.1
1681947751,2.0117435692461374,0.43971840833989567,0.6173548402475552,-0.16091800184506816,0.0021472613994127578,0.9590327062295256,-0.01113746614318811,0.034245024472032023,0.08985725818582826,0.0,0.0,0.1
1681947751,2.003695620959961,0.47826761965407766,0.6302933070379425,-0.1601583114901055,0.001808039627023685,0.9531743709096989,-0.03310378124255348,-0.06751787508931927,0.12638661174501212,0.0,0.0,0.1
1681947752,1.9964946346571657,0.5035939098804828,0.6517432576925248,-0.1594618557181229,0.001144765831140061,0.9464661045806427,-0.00277226282150879,-0.20297927665846918,-0.11986962349915749,0.0,0.0,0.1
1681947753,1.950178131715098,0.5537329168081366,0.6282519080762725,-0.1591253279022833,0.0006043865724258319,0.9417754197336865,-0.027760929628870053,-0.0997292621586716,-0.08972459462229058,0.0,0.0,0.1
